pond,sexo,region,edad,satisfaccion_vida,satisfaccion_chilenos,eval_econ
0.823916465,1,2,63,7,6,4
0.479715516,2,8,62,6,5,2
1.039391632,1,13,59,6,88,4
0.492434306,2,4,52,8,4,2
0.785839869,1,10,55,4,1,3
0.479715516,2,8,81,7,5,3
0.722750737,1,8,55,10,4,3
0.654158717,2,2,76,6,5,3
0.989372532,2,5,53,5,6,3
1.939425671,2,9,51,9,8,2
0.874792903,1,8,50,4,3,1
0.408723043,1,10,49,5,2,3
1.317312624,1,13,49,9,5,3
0.874792903,1,8,48,6,5,3
1.317312624,1,13,48,7,5,4
0.754747408,2,5,44,7,4,2
0.730491315,1,1,46,9,6,3
1.503127677,2,5,18,7,8,2
0.754747408,2,5,41,6,6,3
1.567501196,2,6,36,7,7,3
1.092448939,2,8,47,9,88,3
1.030286506,2,13,43,5,88,4
0.479715516,2,8,73,1,9,2
1.092448939,2,8,53,10,9,3
0.621496938,1,9,43,7,88,4
0.654158717,2,2,63,6,5,3
0.621496938,1,9,41,10,5,2
1.538708075,2,5,27,5,4,3
0.388573566,2,2,52,7,5,3
0.846971838,2,13,68,4,4,3
0.39744098,2,13,48,1,88,4
0.256851885,2,5,54,7,5,4
1.770567199,1,8,29,7,6,3
0.818052317,2,10,27,10,7,2
0.756727078,2,7,51,9,8,3
0.939310387,2,8,44,8,5,1
0.500603013,2,15,66,10,4,2
0.565495996,2,9,45,6,5,2
0.784478418,1,4,60,7,9,8
0.720162202,1,5,76,8,88,2
0.64190234,2,5,71,8,5,3
0.740355414,1,15,71,7,5,3
0.784478418,1,4,66,10,9,3
0.846971838,2,13,67,5,4,4
0.29348065,2,9,60,5,4,3
0.69358657,2,9,57,6,88,2
0.479715516,2,8,77,10,5,4
1.092448939,2,8,52,9,8,1
1.104881814,1,5,52,7,5,2
0.50230868,2,8,48,8,3,2
0.874792903,1,8,45,9,5,2
0.846971838,2,13,61,5,5,3
1.589132303,1,13,40,9,8,3
1.379259028,2,13,30,6,4,2
1.379259028,2,13,30,5,4,2
0.92149875,2,13,52,5,5,3
1.039391632,1,13,82,10,7,3
0.256851885,2,5,53,8,7,4
1.039391632,1,13,74,6,7,4
1.039391632,1,13,72,6,7,3
0.812395302,1,7,72,8,5,2
0.812395302,1,7,69,5,4,3
0.812395302,1,7,68,6,4,3
0.846971838,2,13,57,7,6,2
1.039391632,1,13,60,5,2,1
0.64190234,2,5,56,8,4,3
0.519663329,1,9,59,9,6,3
0.479715516,2,8,56,7,88,3
0.654158717,2,2,79,5,8,2
1.242516817,2,1,44,7,5,3
0.92149875,2,13,48,5,5,2
0.989372532,2,5,54,10,2,1
0.554547303,2,6,50,7,5,3
0.469931831,2,14,43,10,5,1
0.388573566,2,2,47,2,1,3
0.846971838,2,13,61,4,3,2
0.155724893,2,13,35,9,3,3
1.030286506,2,13,36,5,5,3
0.64190234,2,5,64,3,4,3
1.491158499,1,13,24,4,5,3
1.339168839,2,13,22,8,5,3
0.846971838,2,13,73,10,7,3
0.479715516,2,8,62,7,5,3
0.722750737,1,8,66,8,6,3
0.92149875,2,13,50,6,5,4
0.720162202,1,5,60,8,88,2
1.030286506,2,13,38,8,8,3
0.50230868,2,8,49,8,88,3
0.214092044,1,12,52,99,99,2
0.547842798,1,9,50,5,5,4
0.846971838,2,13,69,5,5,3
1.317312624,1,13,45,6,7,3
0.898609123,2,9,43,7,88,4
0.989372532,2,5,51,7,5,3
1.030286506,2,13,43,10,8,3
0.472654733,2,5,38,10,5,3
0.155724893,2,13,39,10,5,2
1.100600521,2,2,18,8,4,3
0.829523735,2,9,28,10,2,4
0.818052317,2,10,30,10,3,2
0.786882058,2,7,31,4,3,2
1.96028413,1,7,19,7,6,3
